name,month,day,time,year,timeZone,insertions,deletions
Kristian Høgsberg,Jul,27,12:05:34,2011,-700,1,1
Kristian Høgsberg,Jul,27,5:50:41,2011,-700,1,0
Tiago Vignatti,Jul,26,11:43:19,2011,300,7,0
Kristian Høgsberg,Jul,25,18:14:20,2011,-700,92,31
Kristian Høgsberg,Jul,19,10:01:46,2011,-700,1,5
Kristian Høgsberg,Jul,18,13:35:18,2011,-400,2,2
Casey Dahlin,Jul,18,2:00:25,2011,-400,1,1
Kristian Høgsberg,Jul,18,13:10:49,2011,-400,6,2
Casey Dahlin,Jul,18,2:00:24,2011,-400,5,0
Tiago Vignatti,Jul,14,18:56:51,2011,300,3,3
Tiago Vignatti,Jul,14,18:56:40,2011,300,23,13
Kristian Høgsberg,Jul,12,13:22:59,2011,-400,1,1
Kristian Høgsberg,Jul,12,13:22:25,2011,-400,99,2
Kristian Høgsberg,Jul,11,11:15:00,2011,-400,1,1
Kristian Høgsberg,Jul,7,13:39:08,2011,-400,1,1
Laszlo Agocs,Jun,29,17:54:11,2011,300,27,0
Kristian Høgsberg,Jun,29,11:43:11,2011,-400,10,0
Kristian Høgsberg,Jun,23,6:43:47,2011,-400,18,19
Kristian Høgsberg,Jun,21,16:25:28,2011,-400,1,34
Benjamin Franzke,Jun,21,17:37:18,2011,200,1,0
Benjamin Franzke,May,10,12:01:00,2011,200,6,3
Benjamin Franzke,May,9,17:35:58,2011,200,0,0
Kristian Høgsberg,Jun,20,20:34:55,2011,-400,26,1
Laszlo Agocs,Jun,14,10:35:46,2011,200,54,0
Laszlo Agocs,Jun,14,11:41:54,2011,200,16,3
Kristian Høgsberg,Jun,18,8:17:40,2011,-400,33,28
Corentin Chary,Jun,10,10:27:16,2011,200,5,0
Corentin Chary,Jun,10,10:24:23,2011,200,4,0
Kristian Høgsberg,Jun,7,13:19:28,2011,-400,8,0
Kristian Høgsberg,Jun,7,10:53:27,2011,-400,1,1
Samuel Rødal,May,30,17:23:40,2011,200,7,1
Benjamin Franzke,May,31,11:18:06,2011,200,1,1
Kristian Høgsberg,May,19,11:53:39,2011,-400,10,0
Kristian Høgsberg,May,12,21:29:22,2011,-400,46,50
Kristian Høgsberg,May,12,21:27:57,2011,-400,9,2
Kristian Høgsberg,May,11,11:00:40,2011,-400,16,15
Kristian Høgsberg,May,11,10:57:06,2011,-400,57,57
Kristian Høgsberg,May,10,22:56:01,2011,-400,155,83
Kristian Høgsberg,May,10,21:49:22,2011,-400,1,1
Robert Bragg,May,10,17:51:52,2011,100,8,0
Benjamin Franzke,May,10,12:56:22,2011,200,5,0
jani.uusi-rantala@nokia.com,May,6,6:13:36,2011,0,0,0
Benjamin Franzke,May,6,17:09:51,2011,200,13,0
Benjamin Franzke,May,4,21:21:52,2011,200,0,0
Kristian Høgsberg,May,4,15:51:47,2011,-400,0,0
Kristian Høgsberg,May,4,15:29:55,2011,-400,1,0
Kristian Høgsberg,May,4,12:35:16,2011,-400,2,0
Kristian Høgsberg,May,2,14:48:48,2011,-400,1,0
Casey Dahlin,Apr,29,2:37:47,2011,-400,1,0
Kristian Høgsberg,Apr,29,9:20:29,2011,-400,0,0
Kristian Høgsberg,Apr,22,17:54:18,2011,-400,0,0
Kristian Høgsberg,Apr,22,12:15:21,2011,-400,11,0
Kristian Høgsberg,Apr,22,12:06:34,2011,-400,50,0
Benjamin Franzke,Mar,8,11:32:24,2011,100,0,0
Benjamin Franzke,Mar,7,15:09:36,2011,100,0,0
Benjamin Franzke,Mar,7,15:05:27,2011,100,11,0
Kristian Høgsberg,Apr,21,14:41:48,2011,-400,17,0
Kristian Høgsberg,Apr,18,12:35:01,2011,-400,7,0
Kristian Høgsberg,Apr,18,10:24:11,2011,-400,67,0
Kristian Høgsberg,Apr,14,16:29:59,2011,-400,5,0
Kristian Høgsberg,Apr,14,10:38:44,2011,-400,24,0
Kristian Høgsberg,Apr,13,16:50:02,2011,-400,38,0
Kristian Høgsberg,Apr,13,16:27:06,2011,-400,32,0
Jørgen Lind,Apr,13,9:38:29,2011,200,0,0
Kristian Høgsberg,Apr,11,9:24:11,2011,-400,6,0
Kristian Høgsberg,Apr,11,9:15:09,2011,-400,1,0
Kristian Høgsberg,Apr,11,9:14:43,2011,-400,17,0
Harald Fernengel,Apr,6,15:36:01,2011,200,1,0
Benjamin Franzke,Mar,14,12:03:13,2011,100,6,0
Iskren Chernev,Mar,13,21:08:37,2011,200,5,0
Iskren Chernev,Mar,13,21:05:14,2011,200,5,0
Iskren Chernev,Mar,13,17:01:33,2011,200,0,0
Iskren Chernev,Mar,13,16:59:30,2011,200,2,0
Kristian Høgsberg,Mar,12,21:26:21,2011,-500,11,0
Iskren Chernev,Mar,11,16:59:53,2011,200,12,0
Iskren Chernev,Mar,11,14:43:10,2011,200,1,0
Iskren Chernev,Mar,11,14:58:06,2011,200,1,0
Iskren Chernev,Mar,11,14:19:00,2011,200,0,0
Benjamin Franzke,Feb,21,9:58:29,2011,100,0,0
Rico Tzschichholz,Feb,24,10:53:06,2011,100,1,0
Kristian Høgsberg,Feb,18,15:28:54,2011,-500,30,0
Liu,nyun,,,,,5,5
Kristian Høgsberg,Feb,14,22:17:41,2011,-500,13320,0
Kristian Høgsberg,Feb,14,10:39:54,2011,-500,37,0
Benjamin Franzke,Feb,14,13:20:09,2011,100,0,0
Kristian Høgsberg,Feb,13,13:44:55,2011,-500,42,0
Kristian Høgsberg,Feb,13,13:00:51,2011,-500,14,0
Tim Wiederhake,Feb,11,19:37:40,2011,100,1,0
Kristian Høgsberg,Feb,10,12:27:35,2011,-500,0,0
Tiago Vignatti,Feb,10,15:21:49,2011,200,2,0
Kristian Høgsberg,Feb,9,10:57:44,2011,-500,7,0
Kristian Høgsberg,Feb,9,10:51:15,2011,-500,5,0
Kristian Høgsberg,Feb,9,10:50:06,2011,-500,0,0
Kristian Høgsberg,Feb,8,11:59:53,2011,-500,0,0
Kristian Høgsberg,Feb,7,20:48:01,2011,-500,2,0
Kristian Høgsberg,Feb,7,16:05:36,2011,-500,2,0
Kristian Høgsberg,Feb,7,10:30:38,2011,-500,14,0
Kristian Høgsberg,Feb,6,16:54:59,2011,-500,10,0
Kristian Høgsberg,Feb,6,12:58:44,2011,-500,0,0
Kristian Høgsberg,Feb,4,15:31:33,2011,-500,121,0
Kristian Høgsberg,Feb,4,14:14:23,2011,-500,0,0
Kristian Høgsberg,Feb,4,14:11:33,2011,-500,96,0
Benjamin Franzke,Feb,4,11:22:35,2011,100,1,0
Kristian Høgsberg,Feb,1,20:28:32,2011,-500,2,0
Benjamin Franzke,Feb,1,16:30:31,2011,100,3,0
nobled,Feb,1,18:51:47,2011,0,0,0
nobled,Feb,1,18:48:46,2011,0,4,0
Benjamin Franzke,Jan,29,13:12:39,2011,100,2,0
Benjamin Franzke,Jan,29,9:51:57,2011,100,2,0
Tim Wiederhake,Jan,29,1:30:25,2011,100,0,0
Kristian Høgsberg,Jan,28,15:53:07,2011,-500,11,0
Kristian Høgsberg,Jan,28,15:18:33,2011,-500,37,0
Benjamin Franzke,Jan,28,16:05:46,2011,100,2,0
nobled,Jan,28,13:47:21,2011,0,1,0
Kristian Høgsberg,Jan,27,20:18:17,2011,-500,2,0
Kristian Høgsberg,Jan,27,11:57:19,2011,-500,3,0
Tim Wiederhake,Jan,27,1:32:36,2011,100,0,0
Kristian Høgsberg,Jan,26,20:35:07,2011,-500,37,0
Kristian Høgsberg,Jan,26,15:33:24,2011,-500,2,0
Kristian Høgsberg,Jan,26,14:37:07,2011,-500,23,0
Kristian Høgsberg,Jan,26,14:02:31,2011,-500,2,0
Kristian Høgsberg,Jan,26,11:46:35,2011,-500,0,0
Kristian Høgsberg,Jan,26,11:46:05,2011,-500,2,0
Tim Wiederhake,Jan,25,22:39:00,2011,100,4,0
Kristian Høgsberg,Jan,25,16:38:41,2011,-500,1,0
Tim Wiederhake,Jan,25,22:22:00,2011,100,0,0
Tim Wiederhake,Jan,25,22:21:59,2011,100,5,0
Tim Wiederhake,Jan,25,22:21:58,2011,100,5,0
Tim Wiederhake,Jan,25,22:21:57,2011,100,17,0
Tim Wiederhake,Jan,25,22:21:56,2011,100,12,0
Tim Wiederhake,Jan,25,22:21:55,2011,100,2,0
Kristian Høgsberg,Jan,25,15:16:01,2011,-500,24,0
Kristian Høgsberg,Jan,25,15:11:53,2011,-500,1,0
Darxus@chaosreigns.com,Jan,25,15:00:56,2011,-500,8,0
Kristian Høgsberg,Jan,25,12:45:37,2011,-500,2,0
Kristian Høgsberg,Jan,25,12:44:19,2011,-500,0,0
Tim Wiederhake,Jan,25,12:01:00,2011,100,4,0
nobled,Jan,24,16:27:27,2011,0,3,0
nobled,Jan,24,16:01:26,2011,0,2,0
Darxus,Jan,23,18:38:57,2011,-500,3,0
Tim Wiederhake,Jan,23,23:25:26,2011,100,0,0
Tim Wiederhake,Jan,23,23:25:25,2011,100,0,0
Tim Wiederhake,Jan,23,23:25:24,2011,100,0,0
Benjamin Franzke,Jan,15,12:34:50,2011,100,0,0
Tim Wiederhake,Jan,21,16:56:07,2011,100,1,0
Tim Wiederhake,Jan,19,23:14:33,2011,100,2,0
Tim Wiederhake,Jan,17,17:50:07,2011,100,1,0
Tim Wiederhake,Jan,17,17:25:34,2011,100,8,0
Tim Wiederhake,Jan,17,12:50:28,2011,100,0,0
Tim Wiederhake,Jan,17,12:40:01,2011,100,0,0
Tim Wiederhake,Jan,17,12:37:35,2011,100,0,0
Benjamin Franzke,Jan,22,17:49:48,2011,100,2,0
Kristian Høgsberg,Jan,23,13:50:42,2011,-500,2,0
Benjamin Franzke,Jan,22,20:41:07,2011,100,0,0
Tim Wiederhake,Jan,23,12:21:15,2011,100,1,0
Kristian Høgsberg,Jan,21,22:19:40,2011,-500,4,0
Kristian Høgsberg,Jan,21,22:17:03,2011,-500,0,0
Kristian Høgsberg,Jan,21,22:01:48,2011,-500,3,0
Kristian Høgsberg,Jan,21,21:57:55,2011,-500,33,0
Kristian Høgsberg,Jan,21,18:03:15,2011,-500,20,0
Kristian Høgsberg,Jan,21,18:02:24,2011,-500,0,0
Kristian Høgsberg,Jan,21,17:12:57,2011,-500,46,0
Kristian Høgsberg,Jan,21,17:00:09,2011,-500,20,0
Kristian Høgsberg,Jan,21,16:23:09,2011,-500,42,0
Kristian Høgsberg,Jan,21,15:18:55,2011,-500,8,0
Kristian Høgsberg,Jan,21,11:35:05,2011,-500,54,0
Kristian Høgsberg,Jan,20,12:37:33,2011,-500,12,0
Kristian Høgsberg,Jan,20,11:56:57,2011,-500,6,0
Kristian Høgsberg,Jan,19,14:41:20,2011,-500,17,0
Kristian Høgsberg,Jan,19,14:27:42,2011,-500,0,0
Kristian Høgsberg,Jan,19,14:20:33,2011,-500,10,0
Kristian Høgsberg,Jan,19,14:11:48,2011,-500,1,0
Kristian Høgsberg,Jan,19,14:08:21,2011,-500,3,0
Kristian Høgsberg,Jan,18,9:23:13,2011,-500,25,0
Kristian Høgsberg,Jan,18,9:17:57,2011,-500,0,0
Kristian Høgsberg,Jan,18,9:08:53,2011,-500,6,0
Kristian Høgsberg,Jan,18,7:53:49,2011,-500,448,0
Benjamin Franzke,Jan,15,15:06:37,2011,100,1,0
Benjamin Franzke,Jan,15,12:34:49,2011,100,0,0
Benjamin Franzke,Jan,15,12:34:48,2011,100,4,0
Kristian Høgsberg,Jan,14,20:45:23,2011,-500,0,0
Kristian Høgsberg,Jan,14,20:39:21,2011,-500,2,0
Kristian Høgsberg,Jan,14,20:38:35,2011,-500,14,0
Benjamin Franzke,Jan,15,0:40:17,2011,100,1,0
Benjamin Franzke,Jan,15,0:40:00,2011,100,27,0
Kristian Høgsberg,Jan,14,17:41:33,2011,-500,13,0
Kristian Høgsberg,Jan,14,17:28:21,2011,-500,0,0
Kristian Høgsberg,Jan,14,17:27:24,2011,-500,2,0
Kristian Høgsberg,Jan,14,17:22:35,2011,-500,9,0
Kristian Høgsberg,Jan,14,16:22:37,2011,-500,6,0
Kristian Høgsberg,Jan,14,16:20:21,2011,-500,91,0
Kristian Høgsberg,Jan,14,14:59:13,2011,-500,131,0
Kristian Høgsberg,Jan,14,14:49:46,2011,-500,16,0
Kristian Høgsberg,Jan,14,14:45:42,2011,-500,194,0
Kristian Høgsberg,Jan,14,14:33:49,2011,-500,0,0
Callum Lowcay,Jan,14,20:46:23,2011,1300,3,0
Callum Lowcay,Jan,12,20:06:17,2011,1300,20,0
Callum Lowcay,Jan,12,19:23:41,2011,1300,40,0
Kristian Høgsberg,Jan,11,13:48:03,2011,-500,4,0
Kristian Høgsberg,Jan,11,11:06:49,2011,-500,25,0
Kristian Høgsberg,Dec,25,16:58:31,2010,-500,15,0
Kristian Høgsberg,Dec,25,16:14:23,2010,-500,9,0
Kristian Høgsberg,Jan,11,10:26:04,2011,-500,62,0
Kristian Høgsberg,Jan,11,10:15:21,2011,-500,0,0
Kristian Høgsberg,Jan,11,10:13:00,2011,-500,7,0
Kristian Høgsberg,Jan,11,10:11:39,2011,-500,11,0
Kristian Høgsberg,Dec,25,8:58:46,2010,-500,7,0
Kristian Høgsberg,Jan,11,10:00:52,2011,-500,135,0
Tiago Vignatti,Jan,10,19:30:04,2011,200,0,0
Callum Lowcay,Jan,10,12:14:01,2011,1300,11,0
Callum Lowcay,Jan,7,19:47:03,2011,0,20,0
Callum Lowcay,Jan,7,19:47:02,2011,0,5,0
Callum Lowcay,Jan,7,19:47:01,2011,0,0,0
Callum Lowcay,Jan,7,19:47:00,2011,0,2,0
Callum Lowcay,Jan,7,19:46:59,2011,0,43,0
Callum Lowcay,Jan,7,19:46:58,2011,0,16,0
Callum Lowcay,Jan,7,19:46:57,2011,0,57,0
Callum Lowcay,Jan,7,19:46:56,2011,0,8,0
Callum Lowcay,Jan,7,19:46:55,2011,0,38,0
Callum Lowcay,Jan,7,19:46:54,2011,0,25,0
Kristian Høgsberg,Jan,7,16:13:00,2011,-500,1,0
Kristian Høgsberg,Jan,7,14:42:49,2011,-500,0,0
Kristian Høgsberg,Jan,7,14:04:43,2011,-500,1,0
Kristian Høgsberg,Jan,7,9:19:25,2011,-500,6,0
Kristian Høgsberg,Jan,7,8:38:56,2011,-500,1,0
Kristian Høgsberg,Jan,6,15:45:19,2011,-500,2,0
Kristian Høgsberg,Jan,6,15:32:14,2011,-500,0,0
Kristian Høgsberg,Jan,6,10:00:23,2011,-500,30,0
nobled,Jan,5,17:48:15,2011,0,2,0
Kristian Høgsberg,Jan,5,17:34:54,2011,-500,69,0
nobled,Jan,5,17:41:55,2011,0,0,0
Kristian Høgsberg,Jan,1,10:55:45,2011,-500,0,0
Kristian Høgsberg,Dec,17,9:54:45,2010,-500,2,0
Kristian Høgsberg,Dec,17,9:53:12,2010,-500,158,0
Kristian Høgsberg,Dec,16,21:11:10,2010,-500,34,0
Kristian Høgsberg,Dec,16,14:56:41,2010,-500,5,0
Kristian Høgsberg,Dec,16,13:35:23,2010,-500,1,0
Joel Teichroeb,Dec,11,21:08:53,2010,-800,1,0
Kristian Høgsberg,Dec,9,11:29:40,2010,-500,31,0
Kristian Høgsberg,Dec,9,11:06:46,2010,-500,0,0
Kristian Høgsberg,Dec,8,15:12:58,2010,-500,46,0
Kristian Høgsberg,Dec,8,11:07:57,2010,-500,5,0
Kristian Høgsberg,Dec,8,9:48:52,2010,-500,135,0
Kristian Høgsberg,Dec,7,20:19:10,2010,-500,1,0
Kristian Høgsberg,Dec,7,17:06:15,2010,-500,63,0
Kristian Høgsberg,Dec,7,15:08:16,2010,-500,9,0
Kristian Høgsberg,Dec,7,14:58:57,2010,-500,50,0
Kristian Høgsberg,Dec,7,13:30:18,2010,-500,23,0
Kristian Høgsberg,Dec,7,13:04:43,2010,-500,42,0
Kristian Høgsberg,Dec,7,12:29:03,2010,-500,2,0
Kristian Høgsberg,Dec,7,9:15:57,2010,-500,29,0
Kristian Høgsberg,Dec,7,9:03:02,2010,-500,0,0
Kristian Høgsberg,Dec,7,9:02:09,2010,-500,44,0
Kristian Høgsberg,Dec,7,8:59:51,2010,-500,26,0
Kristian Høgsberg,Dec,6,21:41:10,2010,-500,15,0
Kristian Høgsberg,Dec,6,21:38:50,2010,-500,14,0
Kristian Høgsberg,Dec,6,21:35:19,2010,-500,32,0
Kristian Høgsberg,Dec,6,21:32:15,2010,-500,8,0
Kristian Høgsberg,Dec,6,17:33:11,2010,-500,45,0
Kristian Høgsberg,Dec,6,16:56:28,2010,-500,15,0
Kristian Høgsberg,Dec,6,16:43:16,2010,-500,35,0
Kristian Høgsberg,Dec,6,10:46:37,2010,-500,33,0
Yuval Fledel,Dec,6,9:18:12,2010,-500,61,0
Kristian Høgsberg,Dec,1,20:10:10,2010,-500,5,0
Kristian Høgsberg,Dec,1,20:06:39,2010,-500,7,0
Kristian Høgsberg,Dec,1,17:46:56,2010,-500,3,0
Kristian Høgsberg,Dec,1,17:07:41,2010,-500,206,0
Kristian Høgsberg,Dec,1,17:00:17,2010,-500,0,0
Kristian Høgsberg,Dec,1,16:52:15,2010,-500,16,0
Kristian Høgsberg,Dec,1,16:43:56,2010,-500,1,0
Kristian Høgsberg,Dec,1,15:36:20,2010,-500,51,0
Kristian Høgsberg,Dec,1,10:21:15,2010,-500,5,0
Kristian Høgsberg,Dec,1,10:17:47,2010,-500,101,0
Kristian Høgsberg,Dec,1,9:50:16,2010,-500,8,0
Kristian Høgsberg,Dec,1,9:46:10,2010,-500,0,0
Kristian Høgsberg,Dec,1,9:42:10,2010,-500,6,0
Kristian Høgsberg,Dec,1,9:40:58,2010,-500,1,0
Kristian Høgsberg,Dec,1,9:39:37,2010,-500,2,0
Yuval Fledel,Nov,23,1:56:45,2010,200,7,0
Joel Teichroeb,Nov,30,10:22:16,2010,-800,28,0
Kristian Høgsberg,Nov,30,15:10:26,2010,-500,6,0
Kristian Høgsberg,Nov,30,14:01:07,2010,-500,14,0
Joel Teichroeb,Nov,30,10:22:13,2010,-800,8,0
Benjamin Franzke,Nov,27,19:04:12,2010,100,6,0
Benjamin Franzke,Nov,27,19:04:11,2010,100,4,0
Kristian Høgsberg,Nov,29,17:04:21,2010,-500,42,0
Yuval Fledel,Nov,29,21:29:10,2010,200,1,0
Yuval Fledel,Nov,29,21:05:26,2010,200,4,0
Fred Morcos,Nov,28,19:31:55,2010,100,0,0
Kristian Høgsberg,Nov,29,8:13:35,2010,-500,3,0
Kristian Høgsberg,Nov,24,14:29:59,2010,-500,2,0
Joel Teichroeb,Nov,23,18:01:40,2010,-800,3,0
Darxus,Nov,22,21:24:39,2010,-500,8,0
Yuval Fledel,Nov,22,21:34:19,2010,200,0,0
Yuval Fledel,Nov,22,21:42:58,2010,200,5,0
Yuval Fledel,Nov,22,21:25:58,2010,200,1,0
Kristian Høgsberg,Nov,22,13:58:46,2010,-500,24,0
Kristian Høgsberg,Nov,22,13:02:21,2010,-500,2,0
Fabian Henze,Nov,19,10:28:32,2010,100,2,0
Bryce Harrington,Nov,19,12:14:39,2010,-800,4,0
Bryce Harrington,Nov,19,12:14:55,2010,-800,0,0
Bryce Harrington,Nov,19,12:15:15,2010,-800,0,0
Bryce Harrington,Nov,19,12:15:36,2010,-800,13,0
Benjamin Franzke,Nov,21,11:47:11,2010,100,0,0
Kristian Høgsberg,Nov,19,10:47:28,2010,-500,31,0
Kristian Høgsberg,Nov,16,10:57:55,2010,-500,22,0
Kristian Høgsberg,Nov,16,10:55:13,2010,-500,1,0
Nikolai Kondrashov,Nov,8,19:38:40,2010,300,10,0
Peter Hutterer,Nov,9,16:31:30,2010,1000,4,0
Tiago Vignatti,Nov,10,2:42:35,2010,200,1,0
Jesse Barnes,Nov,8,11:51:12,2010,-800,0,0
Kristian Høgsberg,Nov,8,15:45:55,2010,-500,90,0
Johan Bilien,Nov,7,9:52:11,2010,-500,1,0
Nikolai Kondrashov,Nov,8,12:59:53,2010,300,1,0
Kristian Høgsberg,Nov,8,8:54:35,2010,-500,0,0
Javier Jardón,Nov,6,1:55:27,2010,100,16,0
Kristian Høgsberg,Oct,31,14:24:39,2010,-400,2,0
Chia-I Wu,Oct,29,15:20:18,2010,800,0,0
Chia-I Wu,Oct,29,15:20:17,2010,800,3,0
Chia-I Wu,Oct,29,15:20:16,2010,800,5,0
Kristian Høgsberg,Oct,27,15:02:51,2010,-400,2,0
Kristian Høgsberg,Oct,26,11:26:44,2010,-400,15,0
Kristian Høgsberg,Oct,26,0:02:20,2010,-400,19,0
Kristian Høgsberg,Oct,25,11:40:03,2010,-400,100,0
Kristian Høgsberg,Oct,25,10:28:23,2010,-400,3,0
Kristian Høgsberg,Oct,15,22:47:09,2010,-400,0,0
Kristian Høgsberg,Oct,12,18:04:57,2010,-400,0,0
